City of license / Market,Station,Channel TV (RF),Year acquired,.1 affiliation,.2 affiliation,.3 affiliation,.4 affiliation,Operator,Coordinates
"Bristol, VA & Greeneville, TN & Johnson City, TN & Kingsport, TN",WEMT [a][f],39 (38),2017[z],Fox,Movies!,Charge!,TBD,Sinclair Broadcast Group,"36.531703,-82.192545"
"Lynchburg & Roanoke, VA",WSET-TV[b],13 (13),2014,ABC,Stadium,Comet,TBD,Sinclair Broadcast Group,"37.522251,-78.668194"
"Norfolk, VA & Hampton Roads",WTVZ-TV,33 (33),1996,MyNetworkTV,Stadium,Comet,TBD,Sinclair Broadcast Group,"39.466684,-93.701324"
"Richmond, VA",WRLH-TV[s],35 (26),1998,Fox,MyNetworkTV & TBD,Comet,Charge!,Sinclair Broadcast Group,"37.524246,-77.493157"
"Seattle & Tacoma, WA",KOMO-TV[e],4 (38),2013,ABC,Comet,Charge!,,Sinclair Broadcast Group,"47.407324,-120.5758"
"Seattle & Tacoma, WA",KUNS-TV[e],51 (50),2013,Univision,TBD,Stadium,,Sinclair Broadcast Group,"47.407324,-120.5758"
"Yakima, WA & Pasco & Kennewick, WA",KIMA-TV[e],29 (33),2013,CBS,CW+,Stadium,,Sinclair Broadcast Group,"46.722625,-120.406039"
"Yakima, WA & Pasco & Kennewick, WA",KEPR-TV[e],19 (18),,,,,,Sinclair Broadcast Group,"46.722625,-120.406039"
"Yakima, WA & Pasco & Kennewick, WA",(Semi-satellite of KIMA-TV),,,,,,,Sinclair Broadcast Group,"46.722625,-120.406039"
"Yakima, WA & Pasco & Kennewick, WA",KUNW-CD[e],2 (30),2013,Univision,Comet,TBD,Charge!,Sinclair Broadcast Group,"46.722625,-120.406039"
"Yakima, WA & Pasco & Kennewick, WA",KVVK-CD[e],15 (15),,,,,,Sinclair Broadcast Group,"46.722625,-120.406039"
"Yakima, WA & Pasco & Kennewick, WA",(Satellite of KUNW-CD),,,,,,,Sinclair Broadcast Group,"46.722625,-120.406039"
"Yakima, WA & Pasco & Kennewick, WA",KORX-CD[e],16,,,,,,Sinclair Broadcast Group,"46.722625,-120.406039"
"Yakima, WA & Pasco & Kennewick, WA",(Satellite of KUNW-CD),,,,,,,Sinclair Broadcast Group,"46.722625,-120.406039"
"Charleston & Huntington, WV",WCHS-TV,8 (41),1997,ABC,Antenna TV,Charge!,TBD,Sinclair Broadcast Group,"38.647285,-80.618327"
"Charleston & Huntington, WV",WVAH-TV[s][a],11 (19),1994,Fox,Stadium,Comet,,Sinclair Broadcast Group,"38.647285,-80.618327"
"Green Bay, WI & the Fox Cities, WI",WLUK-TV,11 (11),2014,Fox,Antenna TV,TBD,,Sinclair Broadcast Group,"44.480778,-88.016063"
"Green Bay, WI & the Fox Cities, WI",WCWF,14 (21),2014,The CW,Comet,Charge!,Stadium,Sinclair Broadcast Group,"44.480778,-88.016063"
"Madison, WI",WMSN-TV,47 (49),2002,Fox,Comet,Charge!,TBD,Sinclair Broadcast Group,"43.06956,-89.423861"
"Milwaukee, WI",WVTV,18 (27.1),2000,The CW,,,,Sinclair Broadcast Group,"43.011264,-87.958409"
"Milwaukee, WI",WVTV-DT2[aa],24 (27.2),1995,MyNetworkTV,Comet,,,Sinclair Broadcast Group,"43.011264,-87.958409"
