domain,2020-03-08,2020-03-08,delta,2020-03-09,2020-03-09,,,,
aikentimes.com,200,47019,0,200,47583,,,,
albanystandard.com,200,54911,0,200,56295,,,,
alleghenyhighlandstoday.com,200,47356,0,200,47356,,,,
ashevillereporter.com,200,78166,0,200,78166,,,,
athensreporter.com,200,52016,0,200,53189,,,,
atlstandard.com,200,57864,0,200,-1,,,,
berkeleyleader.com,200,47648,0,200,47674,,,,
bluestonenews.com,200,43653,0,200,43762,,,,
brevardsun.com,200,71621,0,200,73026,,,,
burlingtonreporter.com,200,76921,0,200,-1,,,,
cabarrustoday.com,200,75672,0,200,77488,,,,
centralbrowardnews.com,200,70368,0,200,72070,,,,
centralgeorgianews.com,200,52811,0,200,52633,,,,
centralnovanews.com,200,50064,0,200,50295,,,,
centralshenandoahnews.com,200,52825,0,200,-1,,,,
centralvatimes.com,404,169,204,200,46971,,,,
chapelhillreview.com,200,76544,0,200,79477,,,,
charlestonleader.com,200,44951,0,200,-1,,,,
charlestonreporter.com,200,45658,0,200,45288,,,,
claycotimes.com,200,69010,0,200,-1,,,,
coastalganews.com,200,53638,0,200,54882,,,,
cobbreporter.com,200,54269,0,200,-1,,,,
columbiastandard.com,200,48375,0,200,48597,,,,
dekalbganews.com,200,54940,0,200,51174,,,,
dorchestertoday.com,200,44576,0,200,44771,,,,
durhamreporter.com,200,76683,0,200,-1,,,,
duvaltimes.com,200,71849,0,200,-1,,,,
easternshoretimes.com,200,-1,0,200,51913,,,,
easthillsboroughnews.com,200,71433,0,200,73219,,,,
eastlakenormannews.com,200,76945,0,200,-1,,,,
eastpanhandlenews.com,200,65424,0,200,68823,,,,
eastpanhandletimes.com,200,45678,0,200,45648,,,,
eastvolusianews.com,200,71596,0,200,-1,,,,
eastwaketimes.com,200,76331,0,200,-1,,,,
ecgeorgianews.com,200,53570,0,200,54878,,,,
ecnorthcarolinanews.com,200,76688,0,200,78319,,,,
ecvirginianews.com,200,52837,0,200,-1,,,,
emeraldcoasttimes.com,200,71081,0,200,-1,,,,
fayettevilletoday.com,200,77868,0,200,80617,,,,
