domain,2020-03-08,2020-03-08,delta,2020-03-09,2020-03-09,,,,
firststatetimes.com,200,58090,0,200,57493,,,,
foothillsreview.com,200,77260,0,200,79201,,,,
fredericksburgleader.com,200,50189,0,200,51211,,,,
gastoniatimes.com,200,77898,0,200,80053,,,,
gatewayreporter.com,200,49421,0,200,49421,,,,
georgiamountainnews.com,200,54298,0,200,-1,,,,
greensbororeporter.com,200,77343,0,200,-1,,,,
greenvilleleader.com,200,47921,0,200,47317,,,,
greenvillereporter.com,200,78275,0,200,80097,,,,
henricotimes.com,200,51448,0,200,51886,,,,
hernandoreporter.com,200,71204,0,200,-1,,,,
hickorysun.com,200,76157,0,200,79191,,,,
highcountrytimes.com,200,76154,0,200,77582,,,,
hiltonheadreporter.com,200,45232,0,200,45517,,,,
huntingtontimes.com,200,44457,0,200,-1,,,,
ibxnews.com,200,77105,0,200,-1,,,,
injouercad.us,,,0,,,,,,
johnstonreporter.com,200,76810,0,200,-1,,,,
kentcountytoday.com,200,-1,0,200,61532,,,,
keywestreporter.com,200,71766,0,200,73585,,,,
leetoday.com,200,-1,0,200,-1,,,,
lowerwestscnews.com,200,45947,0,200,45819,,,,
lynchburgreporter.com,200,49899,0,200,51442,,,,
macontimes.com,200,54262,0,200,55437,,,,
manateereview.com,200,72407,0,200,73940,,,,
miamicourant.com,200,72275,0,200,73700,,,,
mountainstatetimes.com,200,38760,0,200,39196,,,,
myrtlebeachleader.com,200,-1,0,200,-1,,,,
nantahalanews.com,200,73666,0,200,76090,,,,
naplesstandard.com,200,72633,0,200,75117,,,,
naturecoasttimes.com,200,70496,0,200,-1,,,,
ncfloridanews.com,200,72726,0,200,74849,,,,
ncgeorgianews.com,200,-1,0,200,56010,,,,
ncncnews.com,200,79046,0,200,-1,,,,
ncsctimes.com,200,-1,0,200,46460,,,,
ncunionnews.com,200,77223,0,200,-1,,,,
ncwvnews.com,200,-1,0,200,42707,,,,
neatlantanews.com,200,50263,0,200,-1,,,,
nefloridanews.com,200,-1,0,200,73225,,,,
nepiedmontnews.com,200,77233,0,200,79799,,,,
newrivervalleytimes.com,200,-1,0,200,-1,,,,
northbrowardnews.com,200,-1,0,200,72453,,,,
northcharlottetoday.com,200,-1,0,200,77865,,,,
northcharolettenews.com,,,0,,,,,,
northernnecktimes.com,200,48111,0,200,-1,,,,
northfairfaxnews.com,200,-1,0,200,50887,,,,
northfultontoday.com,200,46178,0,200,51905,,,,
northguilfordnews.com,200,76852,0,200,79098,,,,
northgwinnettnews.com,200,47246,0,200,-1,,,,
northiredellnews.com,200,75630,0,200,78236,,,,
northlaketimes.com,200,72505,0,200,-1,,,,
northmecklenburgnews.com,200,-1,0,200,-1,,,,
northmianews.com,200,-1,0,200,-1,,,,
northnewcastlenews.com,200,61728,0,200,59771,,,,
northorlandonews.com,200,-1,0,200,74803,,,,
northpalmbeachtoday.com,200,70014,0,200,72074,,,,
northpanhandlenews.com,200,69856,0,200,70358,,,,
northpanhandletimes.com,200,41758,0,200,43090,,,,
northpinellasnews.com,200,69560,0,200,71679,,,,
northraleightoday.com,200,-1,0,200,80415,,,,
northrichmondtoday.com,200,50254,0,200,53060,,,,
northshenandoahnews.com,200,-1,0,200,53253,,,,
northtidewaternews.com,200,-1,0,200,52106,,,,
northtrianglenews.com,200,76970,0,200,78671,,,,
northwakenews.com,200,77366,0,200,-1,,,,
nwatlantanews.com,200,-1,0,200,-1,,,,
nwgeorgianews.com,200,-1,0,200,54210,,,,
ocalastandard.com,200,70447,0,200,71274,,,,
ohiovalleytimes.com,200,41516,0,200,43020,,,,
okeechobeetimes.com,200,70617,0,200,-1,,,,
oldnorthnews.com,200,77302,0,200,79453,,,,
onslownews.com,200,77436,0,200,78434,,,,
orlandostandard.com,200,71461,0,200,-1,,,,
outerbankstimes.com,200,-1,0,200,-1,,,,
palmcoasttimes.com,200,-1,0,200,71150,,,,
palmettostatenews.com,200,-1,0,200,42408,,,,
panamacityreporter.com,200,68770,0,200,-1,,,,
pascoreporter.com,200,66383,0,200,69296,,,,
peachtreetimes.com,200,44383,0,200,48411,,,,
peedeenews.com,200,43344,0,200,45257,,,,
pensacolatimes.com,200,72292,0,200,74846,,,,
pinehursttoday.com,200,77671,0,200,79682,,,,
pinellastimes.com,200,71754,0,200,-1,,,,
polktimes.com,200,71342,0,200,73056,,,,
princewilliamreporter.com,200,47968,0,200,51303,,,,
randolphcountynews.com,200,-1,0,200,80160,,,,
richmondleader.com,200,-1,0,200,-1,,,,
roanokesun.com,200,46619,0,200,-1,,,,
rockymounttoday.com,200,75871,0,200,77587,,,,
romereporter.com,200,-1,0,200,-1,,,,
rowannews.com,200,78160,0,200,-1,,,,
sarasotareview.com,200,72492,0,200,-1,,,,
savannahstandard.com,200,52151,0,200,54752,,,,
scmidlandnews.com,200,-1,0,200,44945,,,,
scvanews.com,404,169,204,200,-1,,,,
seatlantanews.com,200,50269,0,200,51610,,,,
segeorgianews.com,200,-1,0,200,56433,,,,
senorthcarolinanews.com,200,77258,0,200,78652,,,,
shenandoahvalleynews.com,200,-1,0,200,-1,,,,
southashevillenews.com,200,78119,0,200,80839,,,,
southatlantanews.com,200,48796,0,200,-1,,,,
southbrowardnews.com,200,71266,0,200,72749,,,,
southcharlottetoday.com,200,-1,0,200,-1,,,,
southcharolettenews.com,,,0,,,,,,
southernwvnews.com,200,-1,0,200,-1,,,,
southfairfaxnews.com,200,47458,0,200,49806,,,,
southfultontoday.com,200,48253,0,200,-1,,,,
southgeorgiatimes.com,200,49149,0,200,56715,,,,
southguilfordnews.com,200,74434,0,200,-1,,,,
southgwinnettnews.com,200,48760,0,200,200,,,,
southlaketoday.com,200,-1,0,200,73783,,,,
southmecklenburgnews.com,200,77011,0,200,79496,,,,
southmianews.com,200,72679,0,200,75018,,,,
southncnews.com,200,76711,0,200,-1,,,,
southnewcastlenews.com,200,-1,0,200,61896,,,,
southorlandonews.com,200,71748,0,200,-1,,,,
southpalmbeachtoday.com,200,72226,0,200,74624,,,,
southpinellastimes.com,200,70915,0,200,-1,,,,
southraleighnews.com,200,76223,0,200,-1,,,,
southsidevanews.com,200,-1,0,200,52185,,,,
southtidewaternews.com,200,46686,0,200,47673,,,,
southtrianglenews.com,200,-1,0,200,80035,,,,
southwinstonsalemnews.com,200,77843,0,200,78898,,,,
spartanburgreporter.com,200,-1,0,200,43438,,,,
stpetestandard.com,200,72792,0,200,72641,,,,
sumtertimes.com,200,71843,0,200,72571,,,,
sunshinesentinel.com,200,-1,0,200,63489,,,,
sussexreview.com,200,-1,0,200,56289,,,,
swgeorgianews.com,200,-1,0,200,-1,,,,
swvirginianews.com,200,51044,0,200,51395,,,,
tallahasseesun.com,200,75398,0,200,77200,,,,
tamparepublic.com,200,74351,0,200,-1,,,,
treasurecoastsun.com,200,68840,0,200,71879,,,,
upperwestscnews.com,200,43662,0,200,43546,,,,
upstatescnews.com,200,-1,0,200,43487,,,,
warnerrobinstoday.com,200,49430,0,200,-1,,,,
wcgeorgianews.com,200,49640,0,200,-1,,,,
westatlantanews.com,200,51326,0,200,52099,,,,
westflnews.com,200,71296,0,200,74100,,,,
westhillsboroughnews.com,200,-1,0,200,74749,,,,
westlakenormannews.com,200,-1,0,200,-1,,,,
westnovanews.com,200,50802,0,200,51283,,,,
westvolusianews.com,200,-1,0,200,70860,,,,
westwakenews.com,200,76956,0,200,-1,,,,
williamsburgsun.com,200,46379,0,200,47741,,,,
winstonsalemtimes.com,200,76099,0,200,-1,,,,
wvheartlandnews.com,200,43407,0,200,43029,,,,
yadkinvalleynews.com,200,75690,0,200,78400,,,,
abilenetimes.com,200,73608,0,200,74748,,,,
amarillogazette.com,200,72612,0,200,-1,,,,
auburntimes.com,404,169,0,404,169,,,,
austintxnews.com,200,75636,0,200,75838,,,,
baldwintimes.com,404,169,0,404,169,,,,
batonrougereporter.com,404,169,0,404,169,,,,
bentontimes.com,404,169,0,404,169,,,,
bluegrasstimes.com,200,66420,0,200,66427,,,,
bowlinggreentoday.com,200,-1,0,200,68562,,,,
centrallouisiananews.com,404,169,0,404,169,,,,
centraltxnews.com,200,-1,0,200,71950,,,,
centroplexnews.com,200,-1,0,200,71511,,,,
clarksvilletimes.com,404,169,0,404,169,,,,
collintimes.com,200,71268,0,200,-1,,,,
conchovalleynews.com,200,74380,0,200,74273,,,,
corpuschristisun.com,200,-1,0,200,74126,,,,
dallascitywire.com,200,77146,0,200,76915,,,,
decaturtimes.com,404,169,0,404,169,,,,
eastdfwnews.com,200,-1,0,200,75150,,,,
easthoustonnews.com,200,71417,0,200,72676,,,,
eastkentuckytimes.com,200,69012,0,200,69227,,,,
eastlittlerocktimes.com,404,169,0,404,169,,,,
eastlouisvillenews.com,200,69152,0,200,68085,,,,
eastpennyroyalnews.com,200,-1,0,200,65893,,,,
eastrgvnews.com,200,72618,0,200,73383,,,,
ecalabamanews.com,404,169,0,404,169,,,,
ecmissnews.com,404,169,0,404,169,,,,
ectexasnews.com,200,76078,0,200,75013,,,,
elizabethtowntimes.com,200,63715,0,200,63254,,,,
elpasostandard.com,200,74065,0,200,74356,,,,
farwesttxnews.com,200,68838,0,200,68194,,,,
fayettevillestandard.com,404,169,0,404,169,,,,
floridaparishnews.com,404,169,0,404,169,,,,
forestcountrynews.com,200,71354,0,200,71891,,,,
fortsmithtimes.com,404,169,0,404,169,,,,
ftworthtimes.com,200,75133,0,200,-1,,,,
gadsdentoday.com,404,169,0,404,169,,,,
graysontimes.com,200,72716,0,200,73095,,,,
gtrtimes.com,404,169,0,404,169,,,,
hamiltonreporter.com,404,169,0,404,169,,,,
hillcountrychronicle.com,200,72157,0,200,73573,,,,
hindstoday.com,404,169,0,404,169,,,,
hopkinsvilletimes.com,200,66065,0,200,-1,,,,
hotspringstimes.com,404,169,0,404,169,,,,
houmathibodauxnews.com,404,169,0,404,169,,,,
houstonrepublic.com,200,77613,0,200,-1,,,,
huntsvilleleader.com,404,169,0,404,169,,,,
jacksonpurchasenews.com,200,-1,0,200,67523,,,,
jeffersonreporter.com,404,169,0,404,169,,,,
johnsoncitytimes.com,404,169,0,404,169,,,,
jonesborotimes.com,404,169,0,404,169,,,,
kingsportreporter.com,404,169,0,404,169,,,,
knoxtimes.com,404,169,0,404,169,,,,
lafayettereporter.com,404,169,0,404,169,,,,
laredotimes.com,200,-1,0,200,74530,,,,
lightofbaldr.com,200,23320,0,200,23320,,,,
lonestarstandard.com,200,75521,0,200,75229,,,,
longviewtimes.com,200,70023,0,200,-1,,,,
louisvillecitywire.com,200,-1,0,200,67564,,,,
lowedeltanews.com,404,169,0,404,169,,,,
lubbocktimes.com,200,-1,0,200,74372,,,,
magnoliastatenews.com,404,169,0,404,169,,,,
memphisstandard.com,404,169,0,404,169,,,,
metrolexnews.com,200,67088,0,200,66442,,,,
midcitytimes.com,200,71548,0,200,71008,,,,
mobilecourant.com,404,169,0,404,169,,,,
morristowntimes.com,404,169,0,404,169,,,,
msgulfnews.com,404,169,0,404,169,,,,
nashvillestandard.com,404,169,0,404,169,,,,
naturalstatenews.com,404,169,0,404,169,,,,
ncarkansasnews.com,404,169,0,404,169,,,,
nckentuckynews.com,200,-1,0,200,66338,,,,
ncmissnews.com,404,169,0,404,169,,,,
nctennnews.com,404,169,0,404,169,,,,
nealabamanews.com,404,169,0,404,169,,,,
nedallasnews.com,200,71673,0,200,72494,,,,
nekentuckynews.com,200,66504,0,200,66130,,,,
nelouisiananews.com,404,169,0,404,169,,,,
nemissnews.com,404,169,0,404,169,,,,
nenashvillenews.com,404,169,0,404,169,,,,
netarrantnews.com,200,68125,0,200,67991,,,,
nolareporter.com,404,169,0,404,169,,,,
nortextimes.com,200,73322,0,200,72886,,,,
northacadiananews.com,404,169,0,404,169,,,,
northaustinnews.com,200,77322,0,200,76739,,,,
northbirminghamtimes.com,404,169,0,404,169,,,,
northbluegrassnews.com,200,-1,0,200,67718,,,,
northcoastalnews.com,200,69276,0,200,68644,,,,
northhoustonnews.com,200,-1,0,200,73356,,,,
northkentuckynews.com,200,68303,0,200,68117,,,,
northknoxnews.com,404,169,0,404,169,,,,
northlittlerocktimes.com,404,169,0,404,169,,,,
northsanantonionews.com,200,70622,0,200,70516,,,,
northshorelanews.com,404,169,0,404,169,,,,
northtxnews.com,200,70415,0,200,71236,,,,
nwalabamanews.com,404,169,0,404,169,,,,
nwarkansasnews.com,404,169,0,404,169,,,,
nwhoustonnews.com,200,70822,0,200,71542,,,,
nwkentuckynews.com,200,66071,0,200,66135,,,,
nwlouisiananews.com,404,169,0,404,169,,,,
nwmissnews.com,404,169,0,404,169,,,,
nwtennnews.com,404,169,0,404,169,,,,
oxfordreporter.com,404,169,0,404,169,,,,
panhandletimes.com,200,72507,0,200,72960,,,,
pelicanstatenews.com,404,169,0,404,169,,,,
petroplexnews.com,200,73451,0,200,74011,,,,
pinebelttimes.com,404,169,0,404,169,,,,
pulaskitimes.com,404,169,0,404,169,,,,
riverparishnews.com,404,169,0,404,169,,,,
riverregiontimes.com,404,169,0,404,169,,,,
rutherfordtimes.com,404,169,0,404,169,,,,
sacorridornews.com,200,74231,0,200,74681,,,,
sanantoniostandard.com,200,77126,0,200,77696,,,,
scmissnews.com,404,169,0,404,169,,,,
sctennnews.com,404,169,0,404,169,,,,
sctexasnews.com,200,72965,0,200,73559,,,,
sebluegrassnews.com,200,-1,0,200,68792,,,,
sedallasnews.com,200,-1,0,200,67001,,,,
sehoustonnews.com,200,-1,0,200,74535,,,,
sekentuckynews.com,200,67254,0,200,66799,,,,
setennnews.com,404,169,0,404,169,,,,
setexastimes.com,200,-1,0,200,73927,,,,
shelbyreporter.com,404,169,0,404,169,,,,
shoalstoday.com,404,169,0,404,169,,,,
shreveportreporter.com,404,169,0,404,169,,,,
smokymountaintoday.com,404,169,0,404,169,,,,
southalabamatimes.com,404,169,0,404,169,,,,
southbirminghamtimes.com,404,169,0,404,169,,,,
southbrazorianews.com,200,-1,0,200,71769,,,,
southcumberlandnews.com,404,169,0,404,169,,,,
southdfwnews.com,200,71734,0,200,70725,,,,
southgalvestonnews.com,200,70279,0,200,71038,,,,
southknoxnews.com,404,169,0,404,169,,,,
southlouisiananews.com,404,169,0,404,169,,,,
southsanantonionews.com,200,71897,0,200,70936,,,,
swarkansastimes.com,404,169,0,404,169,,,,
swbluegrassnews.com,200,66240,0,200,65645,,,,
swdallasnews.com,200,-1,0,200,68594,,,,
swhoustonnews.com,200,73093,0,200,73198,,,,
swlouisiananews.com,404,169,0,404,169,,,,
swmissnews.com,404,169,0,404,169,,,,
swtennnews.com,404,169,0,404,169,,,,
tuscaloosaleader.com,404,169,0,404,169,,,,
tylerreporter.com,200,72812,0,200,71573,,,,
uppercumberlandtimes.com,404,169,0,404,169,,,,
upperdeltanews.com,404,169,0,404,169,,,,
uppereasttx.com,200,71155,0,200,71124,,,,
volunteerstatenews.com,404,169,0,404,169,,,,
wacoreporter.com,200,73153,0,200,73821,,,,
wcalabamanews.com,404,169,0,404,169,,,,
wcmissnews.com,404,169,0,404,169,,,,
wctexasnews.com,200,69896,0,200,69428,,,,
westbanklanews.com,404,169,0,404,169,,,,
westdfwnews.com,200,-1,0,200,74531,,,,
westhoustonnews.com,200,74713,0,200,75495,,,,
westpennyroyalnews.com,200,63221,0,200,63225,,,,
westrgvnews.com,200,73271,0,200,74085,,,,
westtxnews.com,200,73310,0,200,73132,,,,
williamsonnews.com,404,169,0,404,169,,,,
wintergardentoday.com,200,72800,0,200,72386,,,,
wiregrasstimes.com,404,169,0,404,169,,,,
yellowhammertimes.com,404,169,0,404,169,,,,
akronreporter.com,404,169,204,200,54958,,,,
andersonreporter.com,404,169,204,200,46156,,,,
annarbortimes.com,200,77273,0,200,77292,,,,
battlecreektimes.com,200,75265,0,200,75568,,,,
bloomingtonleader.com,404,169,204,200,50767,,,,
buckeyereporter.com,404,169,204,200,53700,,,,
butlercountytoday.com,404,169,204,200,-1,,,,
cantonreporter.com,404,169,204,200,54174,,,,
centralohiotoday.com,404,169,204,200,55846,,,,
centralwisconsinnews.com,404,169,204,200,47912,,,,
chippewavalleytimes.com,404,169,204,200,-1,,,,
cincyreporter.com,404,169,204,200,55304,,,,
clermonttimes.com,404,169,204,200,-1,,,,
clevelandreporter.com,404,169,204,200,55162,,,,
columbusstandard.com,404,169,204,200,-1,,,,
daytonreporter.com,404,169,204,200,-1,,,,
delcoreview.com,404,169,204,200,-1,,,,
detroitcitywire.com,200,73689,0,200,77075,,,,
downrivertoday.com,200,76271,0,200,77247,,,,
eastclevelandnews.com,404,169,204,200,55011,,,,
easternwaynetoday.com,200,75406,0,200,76429,,,,
eastindynews.com,404,169,204,200,48470,,,,
eastmichigannews.com,200,77546,0,200,-1,,,,
eaststarknews.com,404,169,204,200,54313,,,,
ecindiananews.com,404,169,204,200,49281,,,,
ecohionews.com,404,169,204,200,55525,,,,
ecwisconsinnews.com,404,169,204,200,-1,,,,
elkharttimes.com,404,169,204,200,49736,,,,
fairfieldreporter.com,404,169,204,200,55313,,,,
findlaytimes.com,404,169,204,200,55345,,,,
fondulacnews.com,404,169,204,200,-1,,,,
foxcitiesnews.com,404,169,204,200,46162,,,,
ftwaynetimes.com,404,169,204,200,-1,,,,
geneseenews.com,200,75220,0,200,74947,,,,
grandrapidsreporter.com,200,76052,0,200,74659,,,,
greatlakeswire.com,200,73699,0,200,75269,,,,
greenbayreporter.com,404,169,204,200,48413,,,,
greenecotimes.com,404,169,204,200,-1,,,,
hollandreporter.com,200,75891,0,200,72756,,,,
hoosierstatetoday.com,404,169,204,200,-1,,,,
indystandard.com,404,169,204,200,50318,,,,
kalamazootimes.com,200,74597,0,200,77582,,,,
kenoshareporter.com,404,169,204,200,45692,,,,
kentuckianatimes.com,404,169,204,200,-1,,,,
kokomostandard.com,404,169,204,200,-1,,,,
lafayettetimes.com,404,169,204,200,51118,,,,
lakecountytimes.com,404,169,204,200,56666,,,,
lansingsun.com,200,74452,0,200,76835,,,,
lickingtoday.com,404,169,204,200,55664,,,,
limareporter.com,404,169,204,200,55287,,,,
livingstontoday.com,200,75618,0,200,75514,,,,
loraintimes.com,404,169,204,200,-1,,,,
macombtoday.com,200,77351,0,200,77886,,,,
madisonreporter.com,404,169,204,200,-1,,,,
mansfieldtimes.com,404,169,204,200,55624,,,,
marionmorrowtimes.com,404,169,204,200,55589,,,,
medinatoday.com,404,169,204,200,55947,,,,
micapitolnews.com,200,76262,0,200,76988,,,,
mkecitywire.com,404,169,204,200,-1,,,,
mkenorth.com,404,169,204,200,46712,,,,
mkesouth.com,404,169,204,200,47533,,,,
monroereview.com,200,72408,0,200,73139,,,,
munciereporter.com,404,169,204,200,-1,,,,
muskegonsun.com,200,76182,0,200,75891,,,,
ncindiananews.com,404,169,204,200,48477,,,,
ncwisconsinnews.com,404,169,204,200,-1,,,,
nefranklinnews.com,404,169,204,200,54834,,,,
neindiananews.com,404,169,204,200,-1,,,,
neohiotimes.com,404,169,204,200,55525,,,,
newisconsinnews.com,404,169,204,200,47772,,,,
northcincynews.com,404,169,204,200,55519,,,,
northcolumbusnews.com,404,169,204,200,55151,,,,
northindynews.com,404,169,204,200,47807,,,,
northkentnews.com,200,73494,0,200,74321,,,,
northmichigannews.com,200,75700,0,200,75092,,,,
northsummitnews.com,404,169,204,200,54491,,,,
northwoodsreporter.com,404,169,204,200,-1,,,,
novitimes.com,200,75185,0,200,77101,,,,
nwfranklinnews.com,404,169,204,200,54487,,,,
nwohiotimes.com,404,169,204,200,55437,,,,
nwwaynenews.com,200,73545,0,200,73219,,,,
ozaukeetimes.com,404,169,204,200,45552,,,,
pontiactimes.com,200,71185,0,200,-1,,,,
portagetimes.com,404,169,204,200,55068,,,,
racinesun.com,404,169,204,200,-1,,,,
scwisconsinnews.com,404,169,204,200,-1,,,,
segrandrapids.com,200,71541,0,200,73353,,,,
seindiananews.com,404,169,204,200,-1,,,,
seoaklandnews.com,200,75099,0,200,76457,,,,
seohiotimes.com,404,169,204,200,55730,,,,
shelbyreview.com,200,76106,0,200,75483,,,,
shiawasseetimes.com,200,75744,0,200,77071,,,,
southbendtimes.com,404,169,204,200,-1,,,,
southcolumbusnews.com,404,169,204,200,-1,,,,
southcuyahoganews.com,404,169,204,200,55227,,,,
southernindianatoday.com,404,169,204,200,-1,,,,
southfranklinnews.com,404,169,204,200,-1,,,,
southindynews.com,404,169,204,200,46668,,,,
southkentnews.com,200,74875,0,200,76981,,,,
southmichigannews.com,200,75024,0,200,76356,,,,
southohionews.com,404,169,204,200,55532,,,,
southsummitnews.com,404,169,204,200,54880,,,,
sowisconsintimes.com,404,169,204,200,-1,,,,
stclairtoday.com,200,75715,0,200,76513,,,,
stjoebentonharbor.com,200,72577,0,200,74348,,,,
sturgiscoldwaternews.com,200,72915,0,200,74893,,,,
swindiananews.com,404,169,204,200,-1,,,,
swwisconsinnews.com,404,169,204,200,-1,,,,
theregionnews.com,404,169,204,200,-1,,,,
thesconi.com,404,169,204,200,43150,,,,
thumbreporter.com,200,76582,0,200,74590,,,,
toledoreporter.com,404,169,204,200,55456,,,,
tricitysun.com,200,75634,0,200,76298,,,,
triconews.com,404,169,204,200,55560,,,,
trumballnews.com,404,169,204,200,55699,,,,
tuscarawasnews.com,404,169,204,200,55719,,,,
upgazette.com,200,76101,0,200,78516,,,,
vacationlandtimes.com,404,169,204,200,55020,,,,
warrenclintonnews.com,404,169,204,200,55328,,,,
warrensun.com,200,74341,0,200,76399,,,,
washingtoncotimes.com,404,169,204,200,46171,,,,
waterfordtoday.com,200,77672,0,200,78643,,,,
waukeshatimes.com,404,169,204,200,46289,,,,
waynecountytoday.com,404,169,204,200,55173,,,,
wcindiananews.com,404,169,204,200,-1,,,,
wcmichigannews.com,200,74881,0,200,75319,,,,
wcwisconsinnews.com,404,169,204,200,49991,,,,
westclevelandnews.com,404,169,204,200,55470,,,,
westernwaynetoday.com,200,-1,0,200,75387,,,,
westhamiltonnews.com,404,169,204,200,54856,,,,
westindynews.com,404,169,204,200,-1,,,,
westlucasnews.com,404,169,204,200,54466,,,,
weststarknews.com,404,169,204,200,-1,,,,
whitewatertimes.com,404,169,204,200,-1,,,,
youngstowntimes.com,404,169,204,200,55581,,,,
abqtimes.com,200,63464,0,200,63750,,,,
adamscountytimes.com,404,169,204,200,-1,,,,
adareporter.com,404,169,204,200,-1,,,,
beehivestatenews.com,404,169,204,200,35611,,,,
bigskytimes.com,200,-1,0,200,61702,,,,
boisecitywire.com,404,169,204,200,-1,,,,
boulderleader.com,404,169,204,200,-1,,,,
cdareporter.com,404,169,204,200,45149,,,,
centennialstatenews.com,404,169,204,200,47046,,,,
centralcoloradonews.com,404,169,204,200,-1,,,,
centralidahotimes.com,404,169,204,200,49064,,,,
centralmontanatimes.com,200,58707,0,200,-1,,,,
centralutahnews.com,404,169,204,200,-1,,,,
centralwynews.com,404,169,204,200,-1,,,,
coconinonews.com,200,66727,0,200,66784,,,,
davistimes.com,404,169,204,200,-1,,,,
denvercitywire.com,404,169,204,200,-1,,,,
eaglevalleytimes.com,404,169,204,200,41403,,,,
eastarapahoenews.com,404,169,204,200,-1,,,,
eastarizonanews.com,200,66460,0,200,-1,,,,
eastidahotimes.com,404,169,204,200,43621,,,,
eastnewmexiconews.com,200,-1,0,200,64764,,,,
eastslcnews.com,404,169,204,200,40876,,,,
enchantmentstatenews.com,200,-1,0,200,62693,,,,
equalitystatenews.com,404,169,204,200,-1,,,,
gemstatewire.com,404,169,204,200,-1,,,,
glaciercountrynews.com,200,59330,0,200,63113,,,,
grandcanyontimes.com,200,-1,0,200,68844,,,,
grandjunctiontimes.com,404,169,204,200,50045,,,,
larimernews.com,404,169,204,200,-1,,,,
lasvegasrecord.com,404,169,204,200,-1,,,,
magicvalleytimes.com,404,169,204,200,-1,,,,
mohavetoday.com,200,66157,0,200,65974,,,,
necoloradonews.com,404,169,204,200,-1,,,,
nemontananews.com,200,65454,0,200,60398,,,,
nenewmexiconews.com,200,64873,0,200,65738,,,,
nevalleytimes.com,200,66066,0,200,66924,,,,
newyomingnews.com,404,169,204,200,-1,,,,
northidahotimes.com,404,169,204,200,-1,,,,
northjeffconews.com,404,169,204,200,-1,,,,
northnevadanews.com,404,169,204,200,-1,,,,
northpimanews.com,200,68183,0,200,68827,,,,
northutahnews.com,404,169,204,200,40989,,,,
northvegastimes.com,404,169,204,200,-1,,,,
nwclarknews.com,404,169,204,200,-1,,,,
nwmontananews.com,200,-1,0,200,-1,,,,
nwnewmexiconews.com,200,64258,0,200,64479,,,,
nwvalleytimes.com,200,67036,0,200,68263,,,,
nwwyomingnews.com,404,169,204,200,-1,,,,
phxreporter.com,200,67593,0,200,69090,,,,
pinaltoday.com,200,-1,0,200,67592,,,,
pocatellotimes.com,404,169,204,200,-1,,,,
renoreporter.com,404,169,204,200,40540,,,,
sandovalnews.com,200,67016,0,200,-1,,,,
santafestandard.com,200,66083,0,200,-1,,,,
searizonanews.com,200,65863,0,200,65463,,,,
secoloradonews.com,404,169,204,200,-1,,,,
sedenvernews.com,404,169,204,200,45110,,,,
semontananews.com,200,61997,0,200,60582,,,,
sevalleytimes.com,200,-1,0,200,67219,,,,
sevegasnews.com,404,169,204,200,-1,,,,
sewyomingnews.com,404,169,204,200,-1,,,,
silverstatetimes.com,404,169,204,200,-1,,,,
slctimes.com,404,169,204,200,-1,,,,
southabqnews.com,200,65783,0,200,65746,,,,
southjeffconews.com,404,169,204,200,47358,,,,
southpimanews.com,200,65597,0,200,66765,,,,
southutahnews.com,404,169,204,200,41603,,,,
springstimes.com,404,169,204,200,-1,,,,
swarizonanews.com,200,66904,0,200,66919,,,,
swcoloradonews.com,404,169,204,200,-1,,,,
