"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"RzgKmIU39UulP1E7uMg56XBR7txpqPZTXU07fWLsNlQ=","RzgKmIU39UulP1E7uMg56XBR7txpqPZTXU07fWLsNlQ=","RzgKmIU39UulP1E7uMg56XBR7txpqPZTXU07fWLsNlQ=","Morgan Rd KwaMbonambi 3915","","","0","30","2020-08-31","en"
"lhcU+tRIG9Ouf75KfrKMzaT65WAMRsdH0PezcELqkc=","lhcU+tRIG9Ouf75KfrKMzaT65WAMRsdH0PezcELqkc=","lhcU+tRIG9Ouf75KfrKMzaT65WAMRsdH0PezcELqkc=","","","","0","6","2020-07-27","en"
"+1JTikVPCgcESCFzWdnFoi8JnjuCBX0BqhTXkMkA3s=","+1JTikVPCgcESCFzWdnFoi8JnjuCBX0BqhTXkMkA3s=","+1JTikVPCgcESCFzWdnFoi8JnjuCBX0BqhTXkMkA3s=","","","","4","19","2020-09-02","en"
"ixNrIiTYNUHG1OEMHIbFwSojRAioIMHHKh+x1BmP7kk=","ixNrIiTYNUHG1OEMHIbFwSojRAioIMHHKh+x1BmP7kk=","ixNrIiTYNUHG1OEMHIbFwSojRAioIMHHKh+x1BmP7kk=","1764 North Street Madikwe","","","10","63","2020-07-22","en"
"fViw3BwMblIMmcBRYoHqo0v0J5zBfhxgO8CDU4Chdnw=","fViw3BwMblIMmcBRYoHqo0v0J5zBfhxgO8CDU4Chdnw=","fViw3BwMblIMmcBRYoHqo0v0J5zBfhxgO8CDU4Chdnw=","","","","5","15","2020-06-15","en"
"dQEVMLoYjOLhhSSwk5sNqr4zaxfl+Yv4YHTDvzGdbA4=","dQEVMLoYjOLhhSSwk5sNqr4zaxfl+Yv4YHTDvzGdbA4=","dQEVMLoYjOLhhSSwk5sNqr4zaxfl+Yv4YHTDvzGdbA4=","1996 St. John Street Malmesbur","","","0","19","2020-07-08","en"
"rXWwMyxLa0Wq53FQkOUJBaAnoy7ytSrfw30jI3ImTc=","rXWwMyxLa0Wq53FQkOUJBaAnoy7ytSrfw30jI3ImTc=","rXWwMyxLa0Wq53FQkOUJBaAnoy7ytSrfw30jI3ImTc=","","","","0","25","2020-10-15","en"
"w6ReXwdNCyY1NzF4meKphdiK7kf6EPsts3q6P8Bt4ps=","w6ReXwdNCyY1NzF4meKphdiK7kf6EPsts3q6P8Bt4ps=","w6ReXwdNCyY1NzF4meKphdiK7kf6EPsts3q6P8Bt4ps=","585 Burger St Sibasa","","","0","16","2020-06-25","en"
"pJxxPvZalSKKIA4ZoVUQzveSuJdH8YRNp55nhbs9CU=","pJxxPvZalSKKIA4ZoVUQzveSuJdH8YRNp55nhbs9CU=","pJxxPvZalSKKIA4ZoVUQzveSuJdH8YRNp55nhbs9CU=","","","","0","0","2020-06-16","en"
"ePOZhTFZAUJZPQjAswttRqWfp8+nj7AtXuoed+mqxQ=","ePOZhTFZAUJZPQjAswttRqWfp8+nj7AtXuoed+mqxQ=","ePOZhTFZAUJZPQjAswttRqWfp8+nj7AtXuoed+mqxQ=","2364 Schoeman St Pretoria","","","34","137","2020-06-26","en"
"A6yKpiwcxGVzKYzZQdZ7NJPXCkVi1XGCjSCpGBFXuk=","A6yKpiwcxGVzKYzZQdZ7NJPXCkVi1XGCjSCpGBFXuk=","A6yKpiwcxGVzKYzZQdZ7NJPXCkVi1XGCjSCpGBFXuk=","","","","0","22","2020-09-08","en"
"RpDFT+5Ay+OAKyJs3LhQwVHh+9zsGsvgLuIPVx+tf8A=","RpDFT+5Ay+OAKyJs3LhQwVHh+9zsGsvgLuIPVx+tf8A=","RpDFT+5Ay+OAKyJs3LhQwVHh+9zsGsvgLuIPVx+tf8A=","153 Cheriton Dr Yellowwood Par","","","0","62","2020-07-20","en"
"ZZZwAPRiD18FPbl8oV5WNys0PNUDciThizw5Tcc0=","ZZZwAPRiD18FPbl8oV5WNys0PNUDciThizw5Tcc0=","ZZZwAPRiD18FPbl8oV5WNys0PNUDciThizw5Tcc0="," Rus St Stellenbosch","","","2","26","2020-08-26","en"
"9+5d5tEH38Cwg+1vOszgClNv7618SYDeX9ATgv7Lo7U=","9+5d5tEH38Cwg+1vOszgClNv7618SYDeX9ATgv7Lo7U=","9+5d5tEH38Cwg+1vOszgClNv7618SYDeX9ATgv7Lo7U=","815 Schoeman St Pretoria","","","0","12","2020-08-26","en"
"tlMQnmdZg9d0pcNW5YHE3gQIboz3FtNJ5TVjnM0Utxc=","tlMQnmdZg9d0pcNW5YHE3gQIboz3FtNJ5TVjnM0Utxc=","tlMQnmdZg9d0pcNW5YHE3gQIboz3FtNJ5TVjnM0Utxc=","2157 Zigzag Rd Sebokeng","","","0","14","2020-06-30","en"
"PTICI5i2KHDQKPcENpLgEOOad8MBBqViqMXt8kaaU=","PTICI5i2KHDQKPcENpLgEOOad8MBBqViqMXt8kaaU=","PTICI5i2KHDQKPcENpLgEOOad8MBBqViqMXt8kaaU=","","","","1","25","2020-07-28","en"
"gqodUD9im4tVjtgV+1Xir3gLUQpJnBJXPPkBI3nU5ms=","gqodUD9im4tVjtgV+1Xir3gLUQpJnBJXPPkBI3nU5ms=","gqodUD9im4tVjtgV+1Xir3gLUQpJnBJXPPkBI3nU5ms=","","","","0","2","2020-06-23","en"
