url,facebookUrl,twitterUsername
https://dailyvoice.com/new-york/clarkstown,https://www.facebook.com/Daily-Voice-Rockland-County-100988716932747/,DVRockland
https://dailyvoice.com/new-york/northrockland,https://www.facebook.com/Daily-Voice-Rockland-County-100988716932747/,DVRockland
https://dailyvoice.com/new-york/orangetown,https://www.facebook.com/Daily-Voice-Rockland-County-100988716932747/,DVRockland
https://dailyvoice.com/new-york/ramapo,https://www.facebook.com/Daily-Voice-Rockland-County-100988716932747/,DVRockland
https://dailyvoice.com/new-york/suffolk,,SuffolkDaily
https://dailyvoice.com/new-york/ulster-sullivan,https://www.facebook.com/DailyVoiceUlsterSullivan/,UlsterSullivan
https://dailyvoice.com/new-york/armonk,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/bedford,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/briarcliff,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/bronxville,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/chappaqua,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/cortlandt,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/eastchester,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/greenburgh,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/harrison,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/lewisboro,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/mamaroneck,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/mountpleasant,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/mountvernon,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/mtkisco,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/newrochelle,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/northsalem,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/ossining,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/peekskill,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/pelham,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/pleasantville,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/portchester,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/poundridge,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/rivertowns,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/rye,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/scarsdale,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/somers,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
https://dailyvoice.com/new-york/tarrytown,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/whiteplains,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/yonkers,https://www.facebook.com/DVSouthernWestchester/,DVWestchester_S
https://dailyvoice.com/new-york/yorktown,https://www.facebook.com/DVNorthernWestchester/,DVWestchester_N
