domain,ip,latitude,longitude,locationVerified,processed,GoogleAnalyticsTrackingId,AddThisPubID,FacebookId,TwitterId
abilenetimes.com,3.213.234.4,32.4487364,-99.7331439,0,,,,,
abqtimes.com,3.219.182.20,35.0843859,-106.650422,0,,,,,
adamscountytimes.com,3.219.182.20,39.8398269,-104.1930918,0,,,,,
adareporter.com,3.219.182.20,38.52,-89.98,0,,,,,
aikentimes.com,3.212.144.110,33.5604168,-81.7195533,0,,,,,
akbusinessdaily.com,34.234.42.207,39.0437192,-77.4874899,0,,ua-114372942-7,,1539330633032940,
akronreporter.com,3.218.216.245,41.0814447,-81.5190053,0,,,,,
albanystandard.com,3.212.144.110,42.6525793,-73.7562317,0,,,,,
albusinessdaily.com,34.234.42.207,39.0437192,-77.4874899,0,,ua-114372942-6,,499614453836277,
alleghenyhighlandstoday.com,3.212.144.110,37.7717792,-79.9669001,0,,,,,
amarillogazette.com,3.213.234.4,35.2219971,-101.8312969,0,,,,,
amestoday.com,3.224.13.68,42.0307812,-93.6319131,0,,,,,
andersonreporter.com,3.218.216.245,38.97383,-95.250525,0,,,,,
annarbortimes.com,3.218.216.245,42.2808256,-83.7430378,0,,ua-147552306-1,,485774048928360,
annearundeltoday.com,35.170.88.147,38.9530109,-76.5488232,0,,,,,
anokatimes.com,3.224.13.68,45.1977428,-93.3871758,0,,,,,
arbusinessdaily.com,34.234.42.207,39.0437192,-77.4874899,0,,ua-114372942-42,,2181112815251856,
ashevillereporter.com,3.212.144.110,35.5950581,-82.5514869,0,,,,,
athensreporter.com,3.212.144.110,37.9838096,23.7275388,0,,,,,
atlstandard.com,3.212.144.110,33.6407282,-84.4277001,0,,,,,
auburntimes.com,3.213.234.4,32.6098566,-85.4807825,0,,,,,
austintxnews.com,3.213.234.4,30.267153,-97.7430608,0,,,,,
azbusinessdaily.com,34.234.42.207,39.0437192,-77.4874899,0,,ua-58698159-22,,1539330633032940,azbizdaily
baldwintimes.com,3.213.234.4,38.7747055,-95.2009909,0,,,,,
baltimorecitywire.com,35.170.88.147,39.2903848,-76.6121893,0,,,,,
batonrougereporter.com,3.213.234.4,30.4514677,-91.1871466,0,,,,,
battlecreektimes.com,3.218.216.245,44.868691,-123.022714,0,,ua-147552306-2,,485774048928360,
beehivestatenews.com,3.219.182.20,39.3209801,-111.0937311,0,,ua-72640900-1,,beehivestate,beehive_state
