OriginIP,domain,httpResponseCode,contentLength,facebookUrl,ArchiveLink
,amplifyschoolchoice.com,,,,
,citizen-watchdog.com,,,,
,exposefranklin.com,,,,
,exposefranklincenter.com,,,,
,exposegreentech.com,,,,
,exposewatchdog.com,,,,
,exposewatchdogwire.com,,,,
,franklincenterexposed.com,,,,
,franklinexposed.com,,,,
,franklinfacts.com,,,,
,freespeechwatchdog.com,,,,http://web.archive.org/web/20180806053952/http://freespeechwatchdog.com/
,greentechtruth.com,,,,
,hireporter.com,,,,http://web.archive.org/web/20080316011612/http://hireporter.com:80/
,iam1a.com,,,,http://web.archive.org/web/20140227164514/http://iam1a.com:80/
,illinoiswatchdogradio.com,,,,http://web.archive.org/web/20180806114317/http://illinoiswatchdogradio.com/
,ilwatchdogradio.com,,,,http://web.archive.org/web/20180806091954/http://ilwatchdogradio.com/
,indianawatchdog.com,,,,http://web.archive.org/web/20141217112425/http://indianawatchdog.com/
,insidefranklin.com,,,,
,iowahotline.net,,,,http://web.archive.org/web/20180104141223/http://iowahotline.net/
,kansasreporter.net,,,,http://web.archive.org/web/20130607084002/http://kansasreporter.net/
,louisianastatehousenews.com,,,,
,naoij.com,,,,http://web.archive.org/web/20161003153208/http://naoij.com/
,nationalonlinejournalists.com,,,,http://web.archive.org/web/20161003233442/http://nationalonlinejournalists.com/
,onlineinvestigativejornalists.com,,,,http://web.archive.org/web/20160111021832/http://onlineinvestigativejornalists.com/
,pennsylvaniaindependent.info,,,,
,pennsylvaniaindependent.net,,,,http://web.archive.org/web/20141218035909/http://pennsylvaniaindependent.net/
,pennwatchdog.com,,,,
,religionwatchdog.com,,,,http://web.archive.org/web/20180805183025/http://religionwatchdog.com/
,soroswatchdog.com,,,,http://web.archive.org/web/20180805205639/http://soroswatchdog.com/
,standwithfranklin.com,,,,
,standwithfranklincenter.com,,,,
,statefeedak.com,,,,http://web.archive.org/web/20180805140304/http://statefeedak.com/
,statefeedal.com,,,,http://web.archive.org/web/20180807163322/http://statefeedal.com/
,statefeedar.com,,,,http://web.archive.org/web/20180807012951/http://statefeedar.com/
,statefeedaz.com,,,,http://web.archive.org/web/20180804225923/http://statefeedaz.com/
,statefeedco.com,,,,http://web.archive.org/web/20180807111314/http://statefeedco.com/
,statefeedct.com,,,,http://web.archive.org/web/20180807150837/http://statefeedct.com/
,statefeedde.com,,,,http://web.archive.org/web/20180807231143/http://statefeedde.com/
,statefeedga.com,,,,
,statefeedhi.com,,,,http://web.archive.org/web/20180805071411/http://statefeedhi.com/
,statefeedia.com,,,,http://web.archive.org/web/20180808083245/http://statefeedia.com/
,statefeedid.com,,,,http://web.archive.org/web/20180808091814/http://statefeedid.com/
,statefeedin.com,,,,http://web.archive.org/web/20180805154522/http://statefeedin.com/
,statefeedks.com,,,,http://web.archive.org/web/20180805101924/http://statefeedks.com/
,statefeedky.com,,,,
,statefeedla.com,,,,http://web.archive.org/web/20180805224014/http://statefeedla.com/
,statefeedmd.com,,,,http://web.archive.org/web/20180807041012/http://statefeedmd.com/
,statefeedmi.com,,,,http://web.archive.org/web/20180808084301/http://statefeedmi.com/
,statefeedmn.com,,,,http://web.archive.org/web/20180806145957/http://statefeedmn.com/
,statefeedmo.com,,,,http://web.archive.org/web/20180804214729/http://statefeedmo.com/
,statefeedms.com,,,,http://web.archive.org/web/20180808010843/http://statefeedms.com/
