awsOrigin,domain,state,lat,lng,locationVerified,httpResponseCode,contentLength,facebookUrl,siteName,twitterUsername,itunesAppStoreUrl,twitterAccountCreatedAt,twitterUserId,twitterFollowers,twitterFollowing,twitterTweets,siteOperator,twitterSuspended
34.236.176.60,ecnorthcarolinanews.com,NC,35.76,-79.02,0,200,81273,https://www.facebook.com/EC-North-Carolina-News-105550317511769/,EC North Carolina News,,,,,,,,Metric Media,
3.82.80.110,ecvirginianews.com,VA,37.43,-78.66,0,200,56137,https://www.facebook.com/EC-Virginia-News-109894947346035,EC Virginia News,,,,,,,,Metric Media,
34.236.176.60,emeraldcoasttimes.com,FL,30.39,-86.5,0,200,75008,https://www.facebook.com/Emerald-Coast-Times-112140423672324/,Emerald Coast Times,,,,,,,,Metric Media,
34.236.176.60,fayettevilletoday.com,NC,35.05,-78.88,0,200,81005,https://www.facebook.com/Fayetteville-Today-112462826815757/,Fayetteville Today,,,,,,,,Metric Media,
34.236.176.60,firststatetimes.com,DE,38.91,-75.53,0,200,60525,https://www.facebook.com/First-State-Times-111265990223655/,First State Times,,,,,,,,Metric Media,
34.236.176.60,foothillsreview.com,NC,35.75,-81.69,0,200,79789,https://www.facebook.com/Foothills-Review-101128717956444/,Foothills Review,,,,,,,,Metric Media,
34.236.176.60,fredericksburgleader.com,VA,38.3,-77.46,0,200,55966,https://www.facebook.com/Fredericksburg-Leader-102546061424252,Fredericksburg Leader,,,,,,,,Metric Media,
34.236.176.60,gastoniatimes.com,NC,35.26,-81.19,0,200,81305,https://www.facebook.com/Gastonia-Times-119779936078342/,Gastonia Times,,,,,,,,Metric Media,
34.236.176.60,gatewayreporter.com,VA,38.79,-77.61,0,200,60253,https://www.facebook.com/Gateway-Reporter-108799944123135,Gateway Reporter,,,,,,,,Metric Media,
3.82.80.110,georgiamountainnews.com,GA,34.63,-83.79,0,200,60180,https://www.facebook.com/Georgia-Mountain-News-101787541502984/,Georgia Mountain News,,,,,,,,Metric Media,
