domain,siteName,facebookFollowers,twitterFollowers,facebookUrl,twitterUrl,archive
westafricawire.com,West Africa Wire,1538,13,https://www.facebook.com/WestAfricaWire,https://twitter.com/westafricawire,https://web.archive.org/web/20180412230740/http://westafricawire.com/
yekaterinburgnews.com,Yekaterinburg News,73,115,https://www.facebook.com/Yekaterinburg-News-752657284779270/,https://twitter.com/yekaternews,https://web.archive.org/web/20180413131342/http://www.yekaterinburgnews.com/
dentalhealthwire.com,Dental Health Wire,,9,https://www.facebook.com/Dental-Health-Wire-1536852496623600,https://twitter.com/dentalhealth_1,https://web.archive.org/web/20180824190342/https://dentalhealthwire.com/
vaccinenewsdaily.com,,,1023,,https://twitter.com/VaccineDaily,https://web.archive.org/web/20180511022434/https://vaccinenewsdaily.com/
aminewswire.com,AMI Newswire,,,,,https://web.archive.org/web/20190319213131/https://americanmediainstitute.com/privacypolicy.htm
bioprepwatch.com,BioPrepWatch,61,1389,https://www.facebook.com/Bioprepwatch,https://twitter.com/BioPrepWatch1,https://web.archive.org/web/20160322023357/http://bioprepwatch.com/
