domain,lat,lng,locationVerified,awsOrigin,facebookUrl,siteName,twitterUsername,itunesAppStoreUrl,twitterAccountCreatedAt,twitterUserId,twitterFollowers,twitterFollowing,twitterTweets
centralmontanatimes.com,47.4996436,-111.2721245,0,3.219.182.20,https://www.facebook.com/Central-Montana-Times-104433430978464/,Central Montana Times,,,,,,,
centralndnews.com,31.087063,-97.3879047,0,3.224.13.68,,,,,,,,,
centralnovanews.com,26.0883308,-80.2379834,0,3.212.144.110,,,,,,,,,
centralohiotoday.com,40.0154745,-82.9931607,0,3.218.216.245,,,,,,,,,
centralsdnews.com,36.765117,-119.9705018,0,3.224.13.68,,,,,,,,,
centralshenandoahnews.com,38.277678,-78.941003,0,3.212.144.110,,,,,,,,,
centralstlnews.com,38.6270025,-90.1994042,0,3.224.13.68,,,,,,,,,
centraltxnews.com,30.2854944,-97.6653991,0,3.213.234.4,,Central Texas News,,,,,,,
centralutahnews.com,37.4166853,-113.6246009,0,3.219.182.20,,,,,,,,,
centralvatimes.com,38.4852928,-78.951451,0,3.212.144.110,,,,,,,,,
centralwisconsinnews.com,44.784201,-89.67268,0,3.218.216.245,,,,,,,,,
centralwynews.com,43.0304794,-108.426918,0,3.219.182.20,,,,,,,,,
centroplexnews.com,31.0851731,-97.7815524,0,3.213.234.4,,Centroplex News,,,,,,,
chambanasun.com,40.1136923,-88.2520123,0,35.170.88.147,https://www.facebook.com/Chambana-Sun-399174026949103,Chambana Sun,ChambanaSun,,2015-11-18T13:19:32.000Z,4218231520,357,171,2974
chapelhillreview.com,35.9131996,-79.0558445,0,3.212.144.110,https://www.facebook.com/Chapel-Hill-Review-103130714424239/,Chapel Hill Review,,,,,,,
charlestonleader.com,32.7764749,-79.9310512,0,3.212.144.110,,,,,,,,,
charlestonreporter.com,32.7764749,-79.9310512,0,3.212.144.110,,,,,,,,,
chicagocitywire.com,41.8781136,-87.6297982,0,35.170.88.147,https://www.facebook.com/Chicago-City-Wire-145288335882139,Chicago City Wire,chicago_wire,,2016-05-31T20:57:21.000Z,7.38E+17,303,19,3450
chippewavalleytimes.com,42.6366424,-82.9394002,0,3.218.216.245,,,,,,,,,
cincyreporter.com,39.1031182,-84.5120196,0,3.218.216.245,,,,,,,,,
clarksvilletimes.com,36.5297706,-87.3594528,0,3.213.234.4,,,,,,,,,
claycotimes.com,38.6921033,-90.3522815,0,3.212.144.110,,Clay County Times,,,,,,,
clayreporter.com,37.083014,-94.4932455,0,3.224.13.68,,,,,,,,,
clermonttimes.com,28.5494447,-81.7728543,0,3.218.216.245,,,,,,,,,
clevelandreporter.com,41.49932,-81.6943605,0,3.218.216.245,,,,,,,,,
coastalganews.com,31.1832649,-81.4867812,0,3.212.144.110,,,,,,,,,
cobbreporter.com,27.7972554,-82.7363715,0,3.212.144.110,,,,,,,,,
cobusinessdaily.com,,,0,34.234.42.207,https://facebook.com/Colorado-Business-Daily-2021289557943148/,Colorado Business Daily,,,,,,,
coconinonews.com,35.6647545,-111.4752851,0,3.219.182.20,https://www.facebook.com/Coconino-News-106875424063358/,Coconino News,,,,,,,
